rxns	rxnnames	subsystems	keggid	reactomeid	fbasolutiontissuev
HMR_0273	HMR 0273	Transport, extracellular			0
HMR_0276	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0277	HMR 0277	Transport, extracellular			0
HMR_0278	HMR 0278	Transport, extracellular			0
HMR_0279	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0280	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0281	HMR 0281	Transport, extracellular			0
HMR_0287	HMR 0287	Transport, extracellular			0
HMR_0288	HMR 0288	Transport, extracellular			0
HMR_0289	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0290	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0291	HMR 0291	Transport, extracellular			0
HMR_0292	HMR 0292	Transport, extracellular			0
HMR_0293	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0296	HMR 0296	Transport, extracellular			0
HMR_0297	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0298	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0299	HMR 0299	Transport, extracellular			0
HMR_0300	HMR 0300	Transport, extracellular			0
HMR_0301	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0302	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0303	HMR 0303	Transport, extracellular			0
HMR_0304	HMR 0304	Transport, extracellular			0
HMR_0305	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0306	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0307	HMR 0307	Transport, extracellular			0
HMR_0308	HMR 0308	Transport, extracellular			0
HMR_0309	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0310	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0311	HMR 0311	Transport, extracellular			0
HMR_0317	HMR 0317	Transport, extracellular			-0
HMR_0319	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0321	HMR 0321	Transport, extracellular			0
HMR_0322	HMR 0322	Transport, extracellular			0
HMR_0323	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0324	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0325	HMR 0325	Transport, extracellular			0
HMR_0326	HMR 0326	Transport, extracellular			0
HMR_0327	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0328	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0329	HMR 0329	Transport, extracellular			0
ACChex	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0343	HMR 0343	Transport, extracellular			-0
HMR_0344	HMR 0344	Transport, extracellular			0
HMR_0345	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0346	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0347	HMR 0347	Transport, extracellular			0
FACOAE1839Z12Z15Z	Alpha-Linolenoyl-CoA hydrolase (18:3(9Z,12Z,15Z))	Fatty acid oxidation	R08178		0
HMR_0354	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0358	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0359	HMR 0359	Transport, extracellular			-0
HMR_0362	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0363	HMR 0363	Transport, extracellular			0
HMR_0366	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0367	HMR 0367	Transport, extracellular			-0
HMR_0370	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0371	HMR 0371	Transport, extracellular			-0
HMR_0374	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			-0
HMR_0375	HMR 0375	Transport, extracellular			-0
HMR_0378	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			-0
HMR_0380	HMR 0380	Transport, extracellular			0
HMR_0381	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0382	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0383	HMR 0383	Transport, extracellular			0
HMR_0384	HMR 0384	Transport, extracellular			0
HMR_0385	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0386	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0387	HMR 0387	Transport, extracellular			0
HMR_0388	HMR 0388	Transport, extracellular			0
HMR_0389	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0390	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0391	HMR 0391	Transport, extracellular			0
HMR_0392	HMR 0392	Transport, extracellular			0
HMR_0393	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0394	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0395	HMR 0395	Transport, extracellular			0
FACOAE1829Z12Z	Linoleoyl-CoA hydrolase (18:2(9Z,12Z))	Fatty acid oxidation	R08177		0
FACOAE1836Z9Z12Z	Gamma-Linolenoyl-CoA hydrolase (18:3(6Z,9Z,12Z))	Fatty acid oxidation			0
HMR_0406	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0410	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0414	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0415	HMR 0415	Transport, extracellular			0
HMR_0418	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0419	HMR 0419	Transport, extracellular			-0
HMR_0422	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0423	HMR 0423	Transport, extracellular			-0
HMR_0426	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0427	HMR 0427	Transport, extracellular			-0
HMR_0428	HMR 0428	Transport, extracellular			0
HMR_0429	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0430	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0431	HMR 0431	Transport, extracellular			0
HMR_0432	HMR 0432	Transport, extracellular			0
HMR_0433	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0434	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0435	HMR 0435	Transport, extracellular			0
HMR_0436	HMR 0436	Transport, extracellular			0
HMR_0437	Long-Chain-Fatty-Acid Coenzyme A Ligase	Fatty acid synthesis			0
HMR_0438	Palmitoyl Coenzyme A Hydrolase	Fatty acid oxidation			0
HMR_0439	HMR 0439	Transport, extracellular			0
G3PD2	Glycerol-3-phosphate dehydrogenase (NADP)	Glycerophospholipid metabolism	R00844		-1000
HMR_0582	CDP-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase	Glycerophospholipid metabolism			-0
HMR_0593	1-Acylglycerol-3-Phosphate O-Acyltransferase	Glycerophospholipid metabolism			-0
HMR_0597	Phosphatidate Phosphatase	Glycerophospholipid metabolism			0
HMR_0598	Phosphatidate Phosphatase	Glycerophospholipid metabolism			0
HMR_0601	Phosphatidate Phosphatase	Glycerophospholipid metabolism			-0
HMR_0614	Ethanolaminephosphotransferase	Glycerophospholipid metabolism			0
HMR_0625	Diacylglycerol Cholinephosphotransferase	Glycerophospholipid metabolism			0
HMR_0629	Phospholipase D	Glycerophospholipid metabolism			0
HMR_0641	Acetylcholinesterase	Glycerophospholipid metabolism			-0
HMR_0642	Phospholipase D	Glycerophospholipid metabolism			0
HMR_0653	S-Adenosyl-L-Methionine:Phosphatidylethanolamine N-Methyltransferase	Glycerophospholipid metabolism			641.335331936236
HMR_0654	S-Adenosyl-L-Methionine:Phosphatidyl-N-Methylethanolamine N-Methyltransferase	Glycerophospholipid metabolism			641.335331936236
HMR_0657	S-Adenosyl-L-Methionine:Phosphatidyl-N-Dimethylethanolamine N-Methyltransferase	Glycerophospholipid metabolism			641.335331936236
HMR_0672	Triacylglycerol Lipase	Glycerophospholipid metabolism			-0
HMR_0750	Sphingosine N-Acyltransferase	Sphingolipid metabolism			-0
HMR_0753	Ceramidase	Sphingolipid metabolism			0
HMR_0758	Sphingosine N-Acyltransferase	Sphingolipid metabolism			0
HMR_0765	HMR 0765	Sphingolipid metabolism			-0
HMR_0767	Phosphatidate Phosphatase	Sphingolipid metabolism			0
SBPP3	Sphingosine 1-phosphate phosphatase	Sphingolipid metabolism			0
HMR_0783	Phosphatidate Phosphatase	Sphingolipid metabolism			-0
HMR_0795	Sphingomyelin Phosphodiesterase	Sphingolipid metabolism			112.392052507435
HMR_0805	Globotriaosylceramide 3-Beta-N-Acetylgalactosaminyltransferase	Glycosphingolipid metabolism			-0
HMR_0806	Globotriaosylceramide 3-Beta-N-Acetylgalactosaminyltransferase	Glycosphingolipid metabolism			0
HMR_0807	Beta-N-Acetylhexosaminidase	Glycosphingolipid metabolism			0
HMR_0808	Beta-N-Acetylhexosaminidase	Glycosphingolipid metabolism			0
HMR_0811	Alpha-N-Acetylgalactosaminidase	Glycosphingolipid metabolism			0
HMR_0812	Beta-Galactoside Alpha-2, 3-Sialyltransferase	Glycosphingolipid metabolism			-0
HMR_0816	Ganglioside Galactosyltransferase	Glycosphingolipid metabolism			0
HMR_0817	Beta-Galactoside Alpha-2, 3-Sialyltransferase	Glycosphingolipid metabolism			0
HMR_0819	Beta-Galactosidase	Glycosphingolipid metabolism			0
HMR_0821	Beta-N-Acetylhexosaminidase	Glycosphingolipid metabolism			0
HMR_0822	HMR 0822	Glycosphingolipid metabolism			0
HMR_0823	HMR 0823	Glycosphingolipid metabolism			0
HMR_0825	Exo-Alpha-Sialidase	Glycosphingolipid metabolism			-0
HMR_0828	Beta-N-Acetylhexosaminidase	Glycosphingolipid metabolism			0
HMR_0829	Ganglioside Galactosyltransferase	Glycosphingolipid metabolism			0
HMR_0830	Beta-Galactosidase	Glycosphingolipid metabolism			0
HMR_0835	HMR 0835	Glycosphingolipid metabolism			-0
HMR_0836	Beta-N-Acetylhexosaminidase	Glycosphingolipid metabolism			0
HMR_0837	Beta-Galactoside Alpha-2, 3-Sialyltransferase	Glycosphingolipid metabolism			0
HMR_0839	HMR 0839	Glycosphingolipid metabolism			0
HMR_0843	Ganglioside Galactosyltransferase	Glycosphingolipid metabolism			-0
HMR_0844	Beta-Galactoside Alpha-2, 3-Sialyltransferase	Glycosphingolipid metabolism			0
HMR_0846	HMR 0846	Glycosphingolipid metabolism			0
HMR_0847	Exo-Alpha-Sialidase	Glycosphingolipid metabolism			0
HMR_0849	Lactosylceramide Alpha-2, 3-Sialyltransferase	Glycosphingolipid metabolism			0
HMR_0855	Alpha-N-Acetylneuraminate Alpha-2, 8-Sialyltransferase	Glycosphingolipid metabolism			0
HMR_0859	Lactosylceramide 1, 3-N-Acetyl-Beta-D-Glucosaminyltransferase	Glycosphingolipid metabolism			-0
HMR_0860	Glucosaminylgalactosylglucosylceramide Beta-Galactosyltransferase	Glycosphingolipid metabolism			0
HMR_0875	HMR 0875	Glycosphingolipid metabolism			0
HMR_0878	4-Galactosyl-N-Acetylglucosaminide 3-Alpha-L-Fucosyltransferase	Glycosphingolipid metabolism			0
HMR_0889	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase	Glycosphingolipid metabolism			-0
HMR_0890	HMR 0890	Glycosphingolipid metabolism			-0
HMR_0906	HMR 0906	Glycosphingolipid metabolism			-0
HMR_0911	4-Galactosyl-N-Acetylglucosaminide 3-Alpha-L-Fucosyltransferase	Glycosphingolipid metabolism			0
HMR_0942	Unspecific Monooxygenase	Arachidonic acid metabolism			0
HMR_0946	Unspecific Monooxygenase	Arachidonic acid metabolism			0
HMR_0950	HMR 0950	Arachidonic acid metabolism			0
HMR_0954	HMR 0954	Arachidonic acid metabolism			0
HMR_0960	Glutathione Peroxidase	Arachidonic acid metabolism			0
HMR_0963	Glutathione Peroxidase	Arachidonic acid metabolism			0
HMR_0981	Leukotriene-B4 20-Monooxygenase	Arachidonic acid metabolism			0
HMR_0985	Arachidonate 15-Lipoxygenase	Arachidonic acid metabolism			-0
HMR_0986	Arachidonate 15-Lipoxygenase	Arachidonic acid metabolism			0
HMR_0987	Arachidonate 15-Lipoxygenase	Arachidonic acid metabolism			0
HMR_1030	Arachidonate:Oxygen 12-Oxidoreductase	Arachidonic acid metabolism			0
HMR_1033	Arachidonate:Oxygen 12-Oxidoreductase	Arachidonic acid metabolism			13.7
HMR_1037	Arachidonate 12-Lipoxygenase	Arachidonic acid metabolism			0
HMR_1039	Arachidonate 12-Lipoxygenase	Arachidonic acid metabolism			13.7
HMR_1077	Arachidonate 5-Lipoxygenase	Arachidonic acid metabolism			0
HMR_1081	Leukotriene-C4 Synthase	Leukotriene metabolism			-3.17285938159339e-13
HMR_1084	Gamma-Glutamyltransferase	Leukotriene metabolism			1000
HMR_1085	Membrane Dipeptidase	Leukotriene metabolism			-7.13087469557138e-13
HMR_1095	HMR 1095	Transport, nuclear			668.093128875834
HMR_1102	Carbonyl Reductase (NADPH)	Leukotriene metabolism			0
HMR_1104	HMR 1104	Transport, peroxisomal			0
HMR_1126	Leukotriene-B4 20-Monooxygenase	Leukotriene metabolism			0
HMR_1127	Leukotriene-B4 20-Monooxygenase	Leukotriene metabolism			0
HMR_1129	Alcohol Dehydrogenase	Leukotriene metabolism			0
HMR_1280	Carbonyl Reductase (NADPH)	Leukotriene metabolism			0
HMR_1283	HMR 1283	Transport, peroxisomal			0
HMR_1284	HMR 1284	Transport, mitochondrial			-0
HMR_1305	Prostaglandin-Endoperoxide Synthase	Eicosanoid metabolism			0
HMR_1306	HMR 1306	Transport, endoplasmic reticular			0
HMR_1307	Prostaglandin-Endoperoxide Synthase	Eicosanoid metabolism			0
HMR_1311	HMR 1311	Transport, endoplasmic reticular			0
PGESc	Prostaglandin E synthase	Eicosanoid metabolism			0
HMR_1315	HMR 1315	Eicosanoid metabolism			-1000
HMR_1316	HMR 1316	Transport, endoplasmic reticular			1000
HMR_1321	HMR 1321	Eicosanoid metabolism			-1000
HMR_1325	HMR 1325	Eicosanoid metabolism			-0
HMR_1329	 (5Z, 13E)- (15S)-9Alpha, 11Alpha, 15-Trihydroxyprosta-5, 13-Dienoate:NADP+ 11-Oxidoreductase	Eicosanoid metabolism			-0
HMR_1388	Arachidonate 15-Lipoxygenase	Eicosanoid metabolism			0
HMR_1390	Prostaglandin-Endoperoxide Synthase	Eicosanoid metabolism			0
HMR_1392	Prostaglandin-Endoperoxide Synthase	Transport, endoplasmic reticular			0
HMR_1490	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1493	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1494	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1495	3Beta-Hydroxysteroid-4Alpha-Carboxylate 3-Dehydrogenase (Decarboxylating)	Cholesterol metabolism			0
C3STDH1	C 3 sterol dehydrogenase  4 methylzymosterol 	Cholesterol metabolism			0
HMR_1502	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1503	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1504	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1505	3Beta-Hydroxysteroid-4Alpha-Carboxylate 3-Dehydrogenase (Decarboxylating)	Cholesterol metabolism			-0
HMR_1532	 (2E, 6E)-Farnesyl Diphosphate Synthase	N-glycan metabolism			-0
HMR_1540	Delta14-Sterol Reductase	Cholesterol metabolism			-0
HMR_1543	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1544	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1545	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1546	3Beta-Hydroxysteroid-4Alpha-Carboxylate 3-Dehydrogenase (Decarboxylating)	Cholesterol metabolism			-0
HMR_1548	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1549	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1550	Methylsterol Monooxygenase	Cholesterol metabolism			-0
HMR_1551	3Beta-Hydroxysteroid-4Alpha-Carboxylate 3-Dehydrogenase (Decarboxylating)	Cholesterol metabolism			-0
HMR_1620	Cholate Coenzyme A Ligase	Transport, mitochondrial			0
HMR_1627	Cholate Coenzyme A Ligase	Bile acid synthesis			0
HMR_1651	3-Hydroxyacyl Coenzyme A Dehydrogenase	Steroid metabolism			-0
HMR_1665	Cholate Coenzyme A Ligase	Transport, peroxisomal			-0
HMR_1666	Cholate Coenzyme A Ligase	Transport, mitochondrial			0
HMR_1681	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			-0
HMR_1685	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			0
HMR_1706	3Alpha, 7Alpha, 12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl Coenzyme A Hydratase	Bile acid synthesis			-0
HMR_1737	24-Hydroxycholesterol 7Alpha-Hydroxylase	Bile acid synthesis			0
HMR_1740	Delta4-3-Oxosteroid 5Beta-Reductase	Bile acid synthesis			-0
HMR_1741	Delta4-3-Oxosteroid 5Beta-Reductase	Bile acid synthesis			-0
HMR_1746	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			-0
HMR_1747	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			-0
HMR_1748	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			-0
HMR_1749	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			-0
HMR_1750	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			-0
HMR_1751	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			-0
HMR_1754	Cholate Coenzyme A Ligase	Bile acid synthesis			-0
HMR_1756	Cholate Coenzyme A Ligase	Bile acid synthesis			-0
HMR_1762	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			0
HMR_1768	Delta4-3-Oxosteroid 5Beta-Reductase	Bile acid synthesis			-0
HMR_1769	Delta4-3-Oxosteroid 5Beta-Reductase	Bile acid synthesis			-0
HMR_1783	3Beta-Hydroxy-Delta5-Steroid Dehydrogenase	Bile acid synthesis			-0
HMR_1807	Cholestanetriol 26-Monooxygenase	Bile acid synthesis			0
HMR_1838	Lithocholic acid 1beta-hydroxylase	Bile acid synthesis			0
HMR_1897	HMR 1897	Transport, extracellular			0
HMR_1916	HMR 1916	Transport, golgi apparatus			0
HMR_1927	HMR 1927	Steroid metabolism			0
HMR_1941	3Beta-Hydroxy-Delta5-Steroid Dehydrogenase	Steroid metabolism			0
HMR_1944	Steroid 17Alpha-Monooxygenase	Androgen and estrogen synthesis and metabolism			0
HMR_1949	3Beta-Hydroxy-Delta5-Steroid Dehydrogenase	Steroid metabolism			0
HMR_1958	17Alpha-Hydroxypregnenolone Acetaldehyde-Lyase	Androgen and estrogen synthesis and metabolism			0
HMR_1962	Alcohol Sulfotransferase	Androgen and estrogen synthesis and metabolism			0
HMR_1967	3Beta-Hydroxy-Delta5-Steroid Dehydrogenase	Androgen and estrogen synthesis and metabolism			-0
HMR_1968	3Beta-Hydroxy-Delta5-Steroid Dehydrogenase	Androgen and estrogen synthesis and metabolism			-0
HMR_1970	Steroid Delta-Isomerase	Androgen and estrogen synthesis and metabolism			0
HMR_1971	Steroid Delta-Isomerase	Androgen and estrogen synthesis and metabolism			0
HMR_1976	3-Oxo-5Alpha-Steroid 4-Dehydrogenase (NADP+)	Androgen and estrogen synthesis and metabolism			0
HMR_1979	3Beta-Hydroxy-Delta5-Steroid Dehydrogenase	Steroid metabolism			0
HMR_1980	Steroid Delta-Isomerase	Steroid metabolism			0
HMR_1981	Steroid 17Alpha-Monooxygenase	Steroid metabolism			0
HMR_1982	3Beta-Hydroxy-Delta5-Steroid Dehydrogenase	Androgen and estrogen synthesis and metabolism			0
HMR_1983	Steroid Delta-Isomerase	Androgen and estrogen synthesis and metabolism			0
HMR_1991	Steroid, Hydrogen-Donor:Oxygen Oxidoreductase (17-Alpha-Hydroxylating)	Steroid metabolism			-0
HMR_1996	11Beta-Hydroxysteroid Dehydrogenase	Steroid metabolism			-0
HMR_2014	Delta4-3-Oxosteroid 5Beta-Reductase	Androgen and estrogen synthesis and metabolism			0
HMR_2016	3 (Or 17)Alpha-Hydroxysteroid Dehydrogenase	Androgen and estrogen synthesis and metabolism			0
HMR_2018	3 (Or 17)Alpha-Hydroxysteroid Dehydrogenase	Androgen and estrogen synthesis and metabolism			0
HMR_2029	Unspecific Monooxygenase	Androgen and estrogen synthesis and metabolism			-0
HMR_2041	17Beta-Estradiol 17-Dehydrogenase	Steroid metabolism			13.7
HMR_2088	Peroxidase	Androgen and estrogen synthesis and metabolism			0
HMR_2089	Peroxidase	Androgen and estrogen synthesis and metabolism			0
HMR_2190	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2193	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2210	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2211	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2215	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2217	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2218	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2219	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2259	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2260	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2261	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2262	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2263	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2264	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2265	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2266	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2267	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2268	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2269	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2270	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
DESAT18	Stearoyl CoA desaturase  n C180CoA   n C181CoA 	Fatty acid synthesis			0
HMR_2332	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2334	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2336	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2338	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2342	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2343	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2344	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2345	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2347	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2348	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2349	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2350	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2353	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2354	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2355	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2356	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2359	HMR 2359	Fatty acid synthesis			0
HMR_2361	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2362	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2363	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2364	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2365	HMR 2365	Fatty acid synthesis			0
HMR_2368	Linoleoyl Coenzyme A, Ferrocytochrome B5:Oxygen Oxidoreductase (6, 7 Cis-Dehydrogenating)	Fatty acid synthesis			0
HMR_2380	HMR 2380	Fatty acid synthesis			0
HMR_2395	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2433	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2434	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2435	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2436	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2440	Linoleate 13S-Lipoxygenase	Linoleate metabolism			0
HMR_2457	Unspecific Monooxygenase	Linoleate metabolism			0
HMR_2472	HMR 2472	Fatty acid synthesis			0
HMR_2484	HMR 2484	Fatty acid synthesis			0
HMR_2530	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2533	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2535	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2537	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2540	Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase	Fatty acid synthesis			0
HMR_2541	Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2542	Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase	Fatty acid synthesis			-0
HMR_2543	Very-Long-Chain Enoyl Coenzyme A Reductase	Fatty acid synthesis			-0
HMR_2581	Prostaglandin-Endoperoxide Synthase	Fatty acid synthesis			0
HMR_2585	Prostaglandin-Endoperoxide Synthase	Transport, nuclear			0
HMR_2602	Carnitine O-Palmitoyltransferase	Fatty acid oxidation			-0
HMR_2603	HMR 2603	Transport, mitochondrial			-0
HMR_2608	Carnitine O-Palmitoyltransferase	Fatty acid oxidation			-0
HMR_2609	HMR 2609	Transport, mitochondrial			-0
